id_campana,fecha,marca,vertical,pais,influencer,tier,plataforma,tipo_contenido,seguidores,fee_influencer_usd,costo_produccion_usd,paid_boost_usd,costo_total_usd,views,reach,likes,comments,shares,saves,link_clicks,conversiones,ingresos_usd,sentimiento_score
UGC-0001,2025-02-02,BeatKitchen,Food,MX,ValeTrend,mid,Instagram,Review,276060,2651.57,25.08,246.96,2923.61,126189,103134,7091,985,1134,1778,6020,962,17709.02,0.691
UGC-0002,2025-02-03,NovaSkin,Fitness,CL,JotaMedia,mid,YouTube Shorts,Tutorial,145653,2432.51,176.29,391.03,2999.84,23014,17991,2043,381,291,332,203,7,333.97,0.831
UGC-0003,2025-02-04,CasaZen,Home,CL,AnaCrea,micro,Instagram,Review,51534,1070.11,38.64,20.09,1128.84,17337,14564,667,125,88,96,146,10,874.15,0.768
UGC-0004,2025-02-05,NovaSkin,Fitness,AR,MaraCreator,macro,TikTok,Tutorial,1558499,11905.76,50.99,230.21,12186.96,621828,481091,24561,5027,3224,7160,19214,915,42697.58,0.771
UGC-0005,2025-02-06,NovaSkin,Fitness,PE,NicoFlow,micro,Instagram,Review,90504,1176.24,180.68,278.89,1635.81,29190,25365,1359,240,273,354,327,38,1588.59,0.745
UGC-0006,2025-02-07,CasaZen,Fitness,CO,CataReels,nano,Instagram,Tutorial,18193,283.72,26.25,3.4,313.38,3486,2698,305,76,91,93,61,9,513.72,0.745
UGC-0007,2025-02-08,GlowTech,Home,CO,JotaMedia,mid,Instagram,Tutorial,241223,3774.56,134.34,563.11,4472.02,42549,27870,1216,193,250,163,2103,373,10398.31,0.749
UGC-0008,2025-02-09,UrbanFit,Home,AR,CataReels,nano,Instagram,UGC_Paid,17079,236.21,119.47,218.15,573.83,1942,1580,28,4,3,5,39,2,102.99,0.694
UGC-0009,2025-02-10,BeatKitchen,Beauty,MX,MaraCreator,macro,Instagram,Challenge,695476,4802.49,27.47,111.33,4941.29,459076,383399,18312,4094,4167,4761,4585,462,38887.56,0.674
UGC-0010,2025-02-11,BeatKitchen,Food,AR,MimoStudio,nano,Instagram,Tutorial,13277,221.29,88.88,234.35,544.52,2863,2319,262,63,31,62,85,17,909.31,0.651
UGC-0011,2025-02-12,BeatKitchen,Food,PE,LunaPixel,nano,YouTube Shorts,UGC_Paid,17272,114.54,109.83,1047.78,1272.15,7937,6888,526,82,118,150,317,36,1439.58,0.922
UGC-0012,2025-02-13,UrbanFit,Fitness,PE,AnaCrea,micro,TikTok,Challenge,43866,709.18,20.57,104.85,834.6,16258,12930,1069,307,222,348,451,61,2576.76,0.774
UGC-0013,2025-02-14,NovaSkin,Home,AR,DaniUX,micro,TikTok,UGC_Organic,117251,432.41,142.58,242.92,817.92,40366,37168,1404,324,326,367,1413,90,5036.31,0.563
UGC-0014,2025-02-15,GlowTech,Tech,CL,DaniUX,micro,TikTok,UGC_Organic,85594,954.73,136.13,23.43,1114.3,38510,31487,2939,801,484,568,1252,145,7678.38,0.85
UGC-0015,2025-02-16,BeatKitchen,Home,CL,LunaPixel,nano,Instagram,UGC_Organic,18944,238.1,227.97,14.82,480.89,7760,5660,178,37,33,52,114,11,348.56,0.911
UGC-0016,2025-02-17,NovaSkin,Food,AR,CataReels,nano,TikTok,Tutorial,16508,291.94,95.41,414.92,802.26,8579,6077,244,51,27,34,249,46,1911.0,0.87
UGC-0017,2025-02-18,UrbanFit,Fitness,PE,NicoFlow,micro,TikTok,UGC_Organic,50806,664.41,72.2,219.16,955.77,15893,13533,911,218,193,125,485,23,907.39,0.777
UGC-0018,2025-02-19,NovaSkin,Home,CL,MaraCreator,macro,TikTok,UGC_Paid,1204714,9813.7,45.32,1053.47,10912.49,803785,681350,65302,9446,13045,14812,27300,431,33379.22,0.739
